task_id	name	status	exit	realtime	peak_vmem	peak_rss
613	perform_pairwise_association_test (459)	COMPLETED	0	9m 56s	3 GB	2.5 GB
614	perform_pairwise_association_test (460)	COMPLETED	0	9m 32s	3 GB	2.5 GB
615	perform_pairwise_association_test (461)	COMPLETED	0	9m 25s	3 GB	2.5 GB
1020	perform_pairwise_association_test (866)	COMPLETED	0	9m 34s	3 GB	2.5 GB
1021	perform_pairwise_association_test (867)	COMPLETED	0	9m 40s	3 GB	2.6 GB
1023	perform_pairwise_association_test (869)	COMPLETED	0	9m 35s	3 GB	2.5 GB
904	perform_pairwise_association_test (750)	COMPLETED	0	8m 58s	3 GB	2.5 GB
456	perform_pairwise_association_test (302)	COMPLETED	0	9m 33s	3 GB	2.5 GB
461	perform_pairwise_association_test (307)	COMPLETED	0	9m 1s	3 GB	2.5 GB
910	perform_pairwise_association_test (756)	COMPLETED	0	9m 7s	3 GB	2.5 GB
913	perform_pairwise_association_test (759)	COMPLETED	0	8m 45s	3 GB	2.5 GB
608	perform_pairwise_association_test (454)	COMPLETED	0	10m 7s	3 GB	2.5 GB
1019	perform_pairwise_association_test (865)	COMPLETED	0	9m 33s	3 GB	2.5 GB
838	perform_pairwise_association_test (684)	COMPLETED	0	8m 36s	3 GB	2.5 GB
460	perform_pairwise_association_test (306)	COMPLETED	0	9m 20s	3 GB	2.5 GB
915	perform_pairwise_association_test (761)	COMPLETED	0	9m 34s	3 GB	2.5 GB
559	perform_pairwise_association_test (405)	COMPLETED	0	9m 36s	3 GB	2.5 GB
752	perform_pairwise_association_test (598)	COMPLETED	0	9m 58s	3 GB	2.5 GB
839	perform_pairwise_association_test (685)	COMPLETED	0	8m 43s	3 GB	2.5 GB
1022	perform_pairwise_association_test (868)	COMPLETED	0	10m 15s	3 GB	2.5 GB
1024	perform_pairwise_association_test (870)	COMPLETED	0	9m 45s	3 GB	2.5 GB
1025	perform_pairwise_association_test (871)	COMPLETED	0	10m 10s	3 GB	2.5 GB
418	perform_pairwise_association_test (264)	COMPLETED	0	9m 38s	3 GB	2.5 GB
419	perform_pairwise_association_test (265)	COMPLETED	0	8m 58s	3 GB	2.5 GB
458	perform_pairwise_association_test (304)	COMPLETED	0	10m	3 GB	2.5 GB
561	perform_pairwise_association_test (407)	COMPLETED	0	8m 49s	3 GB	2.5 GB
562	perform_pairwise_association_test (408)	COMPLETED	0	8m 53s	3 GB	2.5 GB
1069	perform_pairwise_association_test (915)	COMPLETED	0	7m 22s	3 GB	2.5 GB
563	perform_pairwise_association_test (409)	COMPLETED	0	9m 9s	3 GB	2.6 GB
369	perform_pairwise_association_test (215)	COMPLETED	0	13m 9s	3 GB	2.5 GB
564	perform_pairwise_association_test (410)	COMPLETED	0	9m 10s	3 GB	2.6 GB
912	perform_pairwise_association_test (758)	COMPLETED	0	10m 13s	3 GB	2.5 GB
837	perform_pairwise_association_test (683)	COMPLETED	0	9m 31s	3 GB	2.5 GB
947	perform_pairwise_association_test (793)	COMPLETED	0	8m 19s	3 GB	2.5 GB
704	perform_pairwise_association_test (550)	COMPLETED	0	14m 29s	3.1 GB	2.6 GB
565	perform_pairwise_association_test (411)	COMPLETED	0	8m 59s	3 GB	2.5 GB
567	perform_pairwise_association_test (413)	COMPLETED	0	9m 5s	3.1 GB	2.7 GB
1054	perform_pairwise_association_test (900)	COMPLETED	0	9m	3 GB	2.5 GB
995	perform_pairwise_association_test (841)	COMPLETED	0	9m 27s	3 GB	2.5 GB
979	perform_pairwise_association_test (825)	COMPLETED	0	8m 49s	3 GB	2.5 GB
949	perform_pairwise_association_test (795)	COMPLETED	0	9m 26s	3 GB	2.5 GB
368	perform_pairwise_association_test (214)	COMPLETED	0	14m 51s	3 GB	2.5 GB
980	perform_pairwise_association_test (826)	COMPLETED	0	9m 3s	3 GB	2.5 GB
1107	perform_pairwise_association_test (953)	COMPLETED	0	9m 1s	3 GB	2.5 GB
982	perform_pairwise_association_test (828)	COMPLETED	0	9m 33s	3 GB	2.5 GB
840	perform_pairwise_association_test (686)	COMPLETED	0	8m 43s	3 GB	2.5 GB
946	perform_pairwise_association_test (792)	COMPLETED	0	9m 41s	3 GB	2.5 GB
978	perform_pairwise_association_test (824)	COMPLETED	0	10m 13s	3.3 GB	2.8 GB
